,title,authors,where_published,year,doi
55,Increased NLRP1 mRNA and Protein Expression Suggests Inflammasome Activation in the Dorsolateral Prefrontal and Medial Orbitofrontal Cortex in Schizophrenia,"Španić Popovački E, Vogrinc D, Fuller HR, Langer Horvat L, Mayer D, Kopić J, Pintarić K, Babić Leko M, Pravica M, Krsnik Ž, Marčinko D, Šagud M, Hof PR, Mladinov M, Šimić G.",Biomolecules,2024,10.3390/biom14030302
56,"Assessing the commensurability of theories of consciousness: On the usefulness of common denominators in differentiating, integrating and testing hypotheses","Evers K, Farisco M, Pennartz CMA.",Conscious Cogn,2024,10.1016/j.concog.2024.103668
57,Parkinson disease psychosis: from phenomenology to neurobiological mechanisms,"Pagonabarraga J, Bejr-Kasem H, Martinez-Horta S, Kulisevsky J.",Nat Rev Neurol,2024,10.1038/s41582-023-00918-8
58,Vague sensations. About the background and consequences of discordance between actual and perceived physiological changes,Köteles F.,Clin Psychol Rev,2024,10.1016/j.cpr.2024.102382
59,The influence of pitcher handedness on pitch-calling behavior: Insights from fMRI study on baseball umpires,"Chen YH, Huang SK.",Psychophysiology,2024,10.1111/psyp.14501
60,The theta-gamma code in predictive processing and mnemonic updating,Köster M.,Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105529
61,Somatosensory omissions reveal action-related predictive processing,"Dercksen TT, Widmann A, Noesselt T, Wetzel N.",Hum Brain Mapp,2024,10.1002/hbm.26550
62,Is the rubber hand illusion associated with somatic symptom reporting?,"Horváth Á, Witthöft M, Köteles F.",Biol Futur,2024,10.1007/s42977-023-00171-6
63,A mechanism for deviance detection and contextual routing in the thalamus: a review and theoretical proposal,"Varela C, Moreira JVS, Kocaoglu B, Dura-Bernal S, Ahmad S.",Front Neurosci,2024,10.3389/fnins.2024.1359180
64,Predictive Processing: A Circuit Approach to Psychosis,"Keller GB, Sterzer P.",Annu Rev Neurosci,2024,10.1146/annurev-neuro-100223-121214
65,Illustrating the pathway from affect to somatic symptom: the Affective Picture Paradigm,"Petzke TM, Weber K, Van den Bergh O, Witthöft M.",Cogn Emot,2024,10.1080/02699931.2024.2319273
66,Exploring the neural underpinnings of chord prediction uncertainty: an electroencephalography (EEG) study,"Ono K, Mizuochi R, Yamamoto K, Sasaoka T, Ymawaki S.",Sci Rep,2024,10.1038/s41598-024-55366-1
